var_name,     data_type,  decimal_pos,var_desc
           SYSTEM,        Numeric,0,  System Code
             DIST,        Numeric,0,  District Code
            ASSOC,        Numeric,0,  Association Code
            MONTH,        Numeric,0,  Month of Report
             YEAR,        Numeric,0,  Year of Report
           UNINUM,        Numeric,0,"  System, District, and Association   c"
             CASH,        Numeric,0,  Cash
           ACTREC,        Numeric,0,  Accounts Receivable
           ACRLNS,        Numeric,0,  Accrual Loans and Leases net of   une
        NTRECOFCI,        Numeric,0,"  Loans, notes, sales, contracts, and"
           ONTREC,        Numeric,0,"  Loans, notes, sales, contracts, and l"
          ACRSCON,        Numeric,0,"  Loans, notes, sales, contracts, and"
           NONACR,        Numeric,0,"  Loans, notes, sales, contracts, and"
         ALLNLOSS,        Numeric,0,"  Loans, notes, sales, contracts, and l"
         NETLOANS,        Numeric,0,"  Loans, notes, sales, contracts, and"
         AIRLOANS,        Numeric,0,  Accrued Interest Receivable on Loans
     AIRNTRECOFCI,        Numeric,0,  Accrued Interest Receivable on Notes
        AIRONTREC,        Numeric,0,  Accrued Interest Receivable on Other
          AIRSCON,        Numeric,0,  Accrued Interest Receivable on Sales
         AIRMKTIN,        Numeric,0,  Accrued Interest Receivable on   Secu
            AIREC,        Numeric,0,  Total Accrued Interest Receivable
          NAQPROP,        Numeric,0,  Other Property Owned
         FIXASSET,        Numeric,0,  Premises and Other Fixed Assets
          OASSETS,        Numeric,0,  Other Assets
           ASSETS,        Numeric,0,  Total Assets
       SYSNTBDSOS,        Numeric,0,  Interest bearing liabilities:   Syste
        NTPAYOFCI,        Numeric,0,  Interest bearing liabilities:   Notes
       OINTBEARDT,        Numeric,0,  Interest bearing liabilities:   Other
           ACTPAY,        Numeric,0,  Accounts Payable
    AIPSYSNTBDSOS,        Numeric,0,  Accrued interest payable on: Systemwi
     AIPNTPAYOFCI,        Numeric,0,  Accrued interest payable on: Notes
    AIPOINTBEARDT,        Numeric,0,  Accrued Interest Payable on Other   i
            AIPAY,        Numeric,0,  Total Accrued Interest Payable
           OLIABS,        Numeric,0,  Other Liabilities
            LIABS,        Numeric,0,  Total Liabilities
          NETWRTH,        Numeric,0,  Total Net Worth
         TOTLICAP,        Numeric,0,  Total Liabilities and Net Worth
       ACNOCOMINC,        Numeric,0,  Accumulated other comprehensive incom
        LNADJFVAL,        Numeric,0,"  Loans, notes, sales, contracts, and"
        DTADJFVAL,        Numeric,0,  Interest bearing liabilities:   Debt
   TOTINTBEARLIAB,        Numeric,0,  Interest bearing liabilities:   Total
    AIRDERIVATIVE,        Numeric,0,  Accrued interest receivable: Derivati
   IBLSUBNOTEBOND,        Numeric,0,  Interest bearing liabilities:   Subor
   AIPSUBNOTEBOND,        Numeric,0,  Accrued interest payable on:   Subord
    AIPDERIVATIVE,        Numeric,0,  Accrued interest payable on: Derivati
    LoanLeaseHeld,        Numeric,0,  Loans and leases held for sale
CreditLossReserve,        Numeric,0,  Reserve for credit losses on off-bala
      TERMPERFSTK,        Numeric,0,  Interest bearing liabilities:  Limite
AccrdIntPayTermPr,efStk   Numeric,0,  Accrued interest payable on:  Limited
		 CapStock   Num,        Numeric,0,Capital stock
 PerpetualPrefStk,        Numeric,0,  Perpetual Preferred stock
     PAIDIN,        Numeric,0,Paid-in capital
	 AllocSurplus,        Numeric,0,Allocated Surplus
   UNRETERN,        Numeric,0,Unallocated retained earnings
TotInvDebtSecurit,ies     Numeric,0,  Debt securities
TotInvEquityFCSI,        Numeric,0,Equity investments in System institutio
TotInvEquityNonFC,SI      Numeric,0,  Equity investments in non-System inst
TotInvestments		,        Numeric,0,Total investments
